# image_id qw qx qy qz Cx Cy Cz camera_id name cluster_label
316 0.16899936 0.00768768 0.96069568 0.22009982 0.50722025 -0.59322750 3.63125494 1 frame_00316.png 0
59 0.86748562 -0.01954595 -0.46966762 -0.16278506 -2.12200872 0.85070686 -2.80685506 1 frame_00059.png 1
315 0.19698609 -0.00169457 0.96015206 0.19824636 0.73111178 -0.43458139 3.57651235 1 frame_00315.png 1
58 0.85946722 -0.02041622 -0.48274658 -0.16689821 -2.26614827 0.76171041 -2.61991187 1 frame_00058.png 1
314 0.22513248 -0.00681539 0.95679739 0.18386865 0.97187451 -0.29311223 3.54544734 1 frame_00314.png 1
57 0.85381863 -0.02109100 -0.49180719 -0.16933576 -2.36080162 0.68325859 -2.38582470 1 frame_00057.png 1
313 0.25689538 -0.01043495 0.95104537 0.17148930 1.16660007 -0.20102090 3.46391492 1 frame_00313.png 1
56 0.84638170 -0.02200669 -0.50405211 -0.17054384 -2.45216197 0.58658508 -2.11978646 1 frame_00056.png 1
312 0.29299470 -0.01257400 0.94226047 0.16168242 1.34874305 -0.11946619 3.34153672 1 frame_00312.png 1
55 0.84140640 -0.02209526 -0.51177950 -0.17213021 -2.55663497 0.53469900 -1.93129861 1 frame_00055.png 1
311 0.31736508 -0.01297059 0.93508895 0.15722538 1.46779435 -0.10657405 3.26546474 1 frame_00311.png 1
54 0.83835843 -0.02166432 -0.51598546 -0.17448440 -2.67827598 0.49226389 -1.76490822 1 frame_00054.png 1
310 0.35162358 -0.01424261 0.92382708 0.15067029 1.66735238 -0.05961731 3.11042621 1 frame_00310.png 1
53 0.83479648 -0.02132818 -0.52067458 -0.17764550 -2.80593649 0.40776650 -1.59103344 1 frame_00053.png 1
293 0.65876791 -0.09151472 0.73558013 0.12873141 3.27559206 1.20148692 -0.38557669 1 frame_00293.png 2
36 0.52836473 -0.01009572 -0.78727659 -0.31768596 -3.29885708 -0.90523287 2.15249788 1 frame_00036.png 0
292 0.67873492 -0.09369977 0.71782666 0.12354811 3.27888354 1.29355194 -0.60574109 1 frame_00292.png 2
35 -0.48886350 0.01432015 0.80807431 0.32836461 -3.21734881 -0.99196183 2.37567265 1 frame_00035.png 0
291 0.70104051 -0.09500679 0.69704322 0.11681894 3.26408902 1.39885338 -0.86184418 1 frame_00291.png 2
34 -0.45658564 0.01624272 0.82283545 0.33794607 -3.13077856 -1.07004430 2.51802854 1 frame_00034.png 0
290 0.71969499 -0.09951608 0.67859671 0.10789887 3.22891723 1.49114929 -1.10642517 1 frame_00290.png 2
33 -0.42222243 0.01934316 0.83747477 0.34639583 -2.96945667 -1.12658583 2.66454785 1 frame_00033.png 0
289 0.73053205 -0.10215114 0.66744977 0.10197487 3.20913136 1.53877629 -1.27386657 1 frame_00289.png 2
32 -0.38616350 0.02092964 0.85179123 0.35339978 -2.77691385 -1.20739696 2.81432082 1 frame_00032.png 0
288 0.76175646 -0.10731934 0.63230149 0.09167597 3.14241228 1.69488185 -1.56154481 1 frame_00288.png 2
31 -0.35340020 0.02327195 0.86362900 0.35876407 -2.61708267 -1.26548321 2.97674791 1 frame_00031.png 0
287 0.77458720 -0.11150907 0.61641096 0.08728071 3.09038137 1.75163846 -1.69562965 1 frame_00287.png 2
30 -0.32100155 0.02506532 0.87414735 0.36358787 -2.46898636 -1.35366946 3.14778215 1 frame_00030.png 0
286 0.79401556 -0.11648614 0.59085179 0.08285184 3.02115946 1.82541162 -1.87684378 1 frame_00286.png 2
29 -0.29115031 0.02722265 0.88243136 0.36851774 -2.29131388 -1.41673603 3.24365143 1 frame_00029.png 0
